GSRM v2.1,"82 36' 56.99"" S","165 8' 3.98"" W",15.06,127.37,-9.14,11.97,AN(NNR)
,-82.615830,-165.134440,,,,,
GSRM v2.1,"82 36' 56.99"" S","14 51' 56.02"" W",12.48,357.84,12.47,-0.47,AN(NNR)
,-82.615830,-14.865560,,,,,
GSRM v2.1,"82 36' 56.99"" S","14 51' 56.02"" E",11.02,326.03,9.14,-6.16,AN(NNR)
,-82.615830,14.865560,,,,,
GSRM v2.1,"82 36' 56.99"" S","165 8' 3.98"" E",13.96,153.26,-12.47,6.28,AN(NNR)
,-82.615830,165.134440,,,,,
GSRM v2.1,"82 36' 54.18"" S","149 4' 44.77"" W",15.44,113.89,-6.25,14.12,AN(NNR)
,-82.615049,-149.079104,,,,,
GSRM v2.1,"82 36' 54.18"" S","30 55' 15.23"" W",13.28,13.41,12.92,3.08,AN(NNR)
,-82.615049,-30.920896,,,,,
GSRM v2.1,"82 36' 54.18"" S","30 55' 15.23"" E",10.4,306.97,6.25,-8.31,AN(NNR)
,-82.615049,30.920896,,,,,
GSRM v2.1,"82 36' 54.18"" S","149 4' 44.77"" E",13.21,168.07,-12.92,2.73,AN(NNR)
,-82.615049,149.079104,,,,,
GSRM v2.1,"82 22' 15.47"" S",90 W,15.5,65.26,6.49,14.08,AN(NNR)
,-82.370963,-90.000000,,,,,
GSRM v2.1,"82 22' 15.47"" S",90 E,10.36,231.22,-6.49,-8.08,AN(NNR)
,-82.370963,90.000000,,,,,
GSRM v2.1,"82 4' 14.27"" S",0 E,11.66,343.52,11.18,-3.31,AN(NNR)
,-82.070631,0.000000,,,,,
GSRM v2.1,"82 4' 14.27"" S",180 E,14.7,139.51,-11.18,9.54,AN(NNR)
,-82.070631,180.000000,,,,,
GSRM v2.1,"82 3' 41.64"" S","134 6' 1.49"" W",15.85,101.35,-3.12,15.54,AN(NNR)
,-82.061566,-134.100415,,,,,
GSRM v2.1,"82 3' 41.64"" S","45 53' 58.51"" W",14.08,27.95,12.44,6.6,AN(NNR)
,-82.061566,-45.899585,,,,,
GSRM v2.1,"82 3' 41.64"" S","45 53' 58.51"" E",9.81,288.54,3.12,-9.3,AN(NNR)
,-82.061566,45.899585,,,,,
GSRM v2.1,"82 3' 41.64"" S","134 6' 1.49"" E",12.44,181.63,-12.44,-0.35,AN(NNR)
,-82.061566,134.100415,,,,,
GSRM v2.1,"82 1' 13.15"" S","107 9' 9.63"" W",15.88,79.46,2.9,15.61,AN(NNR)
,-82.020320,-107.152674,,,,,
GSRM v2.1,"82 1' 13.15"" S","72 50' 50.37"" W",15.16,51.22,9.5,11.82,AN(NNR)
,-82.020320,-72.847326,,,,,
GSRM v2.1,"82 1' 13.15"" S","72 50' 50.37"" E",9.77,252.72,-2.9,-9.33,AN(NNR)
,-82.020320,72.847326,,,,,
GSRM v2.1,"82 1' 13.15"" S","107 9' 9.63"" E",10.99,210.27,-9.5,-5.54,AN(NNR)
,-82.020320,107.152674,,,,,
GSRM v2.1,"81 3' 5.84"" S","121 43' 2.91"" W",16.28,91.26,-0.36,16.28,AN(NNR)
,-81.051621,-121.717474,,,,,
GSRM v2.1,"81 3' 5.84"" S","58 16' 57.09"" W",14.86,39.93,11.4,9.54,AN(NNR)
,-81.051621,-58.282526,,,,,
GSRM v2.1,"81 3' 5.84"" S","58 16' 57.09"" E",9.25,272.21,0.36,-9.24,AN(NNR)
,-81.051621,58.282526,,,,,
GSRM v2.1,"81 3' 5.84"" S","121 43' 2.91"" E",11.67,192.40,-11.4,-2.51,AN(NNR)
,-81.051621,121.717474,,,,,
GSRM v2.1,"80 49' 44.24"" S","155 30' 32.89"" W",15.88,118.11,-7.48,14,AN(NNR)
,-80.828956,-155.509137,,,,,
GSRM v2.1,"80 49' 44.24"" S","24 29' 27.11"" W",13.07,10.35,12.86,2.35,AN(NNR)
,-80.828956,-24.490863,,,,,
GSRM v2.1,"80 49' 44.24"" S","24 29' 27.11"" E",10.11,317.74,7.48,-6.8,AN(NNR)
,-80.828956,24.490863,,,,,
GSRM v2.1,"80 49' 44.24"" S","155 30' 32.89"" E",13.75,159.31,-12.86,4.86,AN(NNR)
,-80.828956,155.509137,,,,,
GSRM v2.1,"80 39' 44.24"" S","168 16' 35.29"" W",15.52,128.33,-9.63,12.18,AN(NNR)
,-80.662289,-168.276469,,,,,
GSRM v2.1,"80 39' 44.24"" S","11 43' 24.71"" W",12.27,358.32,12.26,-0.36,AN(NNR)
,-80.662289,-11.723531,,,,,
GSRM v2.1,"80 39' 44.24"" S","11 43' 24.71"" E",10.77,333.30,9.63,-4.84,AN(NNR)
