#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IA|EGSI|-5.3526|102.2767|35.73|Station Enggano, Bengkulu, Indonesia (BMKG)|2009-01-01T00:00:00|2599-12-31T23:59:59
XC|TIMA|-44.3825|171.078903|243.0|Timaru|1995-11-14T01:14:58|1996-04-07T23:59:59
IA|GLMI|1.8381|127.7879|130.21|Station Galela, Maluku, Indonesia (BMKG)|2009-01-01T00:00:00|2599-12-31T23:59:59
XP|0340|-39.140499|176.628998|500.0|Te-Harota|1994-01-01T00:00:00|1995-04-11T00:00:00
S1|AUNHS|-12.1874|136.7832|20.0|Nhulunbuy High School|2013-08-28T00:00:00|2599-12-31T23:59:59
IU|MBWA|-21.159|119.7313|190.0|Marble Bar, Western Australia|2001-08-25T00:00:00|2599-12-31T23:59:59
YY|OBS50|18.0984|145.616104|-2339.0|LDEO OBS50|2003-06-21T00:00:00|2003-07-31T23:59:59
ZB|S30S|0.10308|100.729782|129.0|200-50-25-05-ok|2008-07-04T04:54:19|2008-10-22T07:54:00
AU|RMQ|-26.489|148.755005|360.0|Roma, QLD|2004-11-22T21:00:00|2599-12-31T23:59:59
7B|SB04|-29.3367|145.006104|0.0|QUEENSLAND, AUSTRALIA|1993-11-16T01:41:43|1993-12-08T11:12:59
3B|WYKM4|-31.3109|117.7141|349.0|3B-WYKM4|2024-08-22T00:00:00|2025-01-16T00:00:00
ZU|NZ01|-44.4981|165.001602|-4682.0|SIO_OBS_ID: 116|2009-01-31T00:00:00|2010-02-04T23:59:59
YY|OBS33|17.9072|144.199799|-3847.0|LDEO OBS33|2003-06-12T00:00:00|2004-05-02T23:59:59
XQ|9002|-38.604099|175.868805|537.5|9002|2002-07-26T00:00:00|2002-11-03T00:00:00
XB|5MI00|-42.334801|172.995499|768.0|-|2001-12-24T00:00:00|2002-12-31T23:59:59
XU|LATA|-42.781101|172.268997|640.0|Lake Taylor|1996-04-07T00:00:00|1997-12-31T23:59:59
XD|SEHB|-9.969559|151.161591|84.0|Sehulea (Airstrip), Normanby Island|1999-07-20T07:56:37|2000-12-31T23:59:59
AU|PSAC2|-21.562519|119.900436|330.0|Pilbara Seismic Array Element C2|2011-01-01T00:00:00|2599-12-31T23:59:59
S1|AUBRN|-41.0405|145.8684|10.0|Burnie High School|2017-07-06T00:00:00|2599-12-31T23:59:59
7D|KA07|-18.182199|124.077721|180.0|QUEENSLAND, AUSTRALIA|1997-07-25T05:25:15|1997-10-10T22:06:00
YC|SBB2|4.79788|115.699127|997.0|Kg|2018-03-24T01:05:00|2020-01-16T03:50:00
TM|PANO|17.147614|104.6122|168.0|Huai Kan, Nakhon Phanom|2009-01-01T00:00:00|2599-12-31T23:59:59
7B|SC10|-25.190001|133.324097|0.0|QUEENSLAND, AUSTRALIA|1994-08-09T03:59:04|1994-10-19T13:59:04
Z6|OS07|-9.5096|110.722|-987.0|Station OS07, Indonesia|2004-05-02T00:00:00|2004-10-02T00:00:00
IA|SNJI|-7.78|111.759|1341.0|Station Sawahan, Indonesia (JISNET)|2006-01-01T00:00:00|2599-12-31T23:59:59
ZU|NZ27|-46.500702|173.249695|-1544.0|SIO_OBS_ID: 123|2009-02-16T00:00:00|2010-02-11T23:59:59
IA|STKI|0.0656|111.4772|87.78|Station Sintang, Kalimantan|2007-01-01T00:00:00|2599-12-31T23:59:59
PS|VIVO|18.6498|105.6965|10.0|Vinh, Vietnam|2009-08-01T00:00:00|2599-12-31T23:59:59
YO|EDUT4|-39.239578|174.160477|437.0|EDUT4|2001-10-01T00:00:00|2002-01-31T21:20:00
AU|MUN|-31.9783|116.208298|253.0|Mundaring, Western Australia|2001-05-31T00:00:00|2599-12-31T23:59:59
XO|GUGU|17.311577|145.833359|80.0|Guguan|2003-05-07T08:16:45|2004-12-31T23:59:59
S1|AUMBR|-35.134|139.2859|50.0|Murray Bridge High School|2016-06-20T00:00:00|2599-12-31T23:59:59
PS|PATS|6.8367|158.315201|10.0|Pohnpei, Micronesia|1993-04-01T00:00:00|2599-12-31T23:59:59
AU|WB4|-19.903646|134.358932|380.6|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
ZB|C30S|-0.05458|100.219254|600.0|NO-secondary-sample-rate-Height-from-SRTM|2008-06-25T00:00:00|2008-10-26T00:00:00
ZI|ROUX|-22.342365|166.7227|12.6|ROUX|2018-10-22T01:47:01|2019-11-14T02:35:04
YO|STAT4|-39.317291|174.352325|230.0|STAT4|2001-10-01T00:00:00|2002-02-01T20:00:00
ZN|SAGI|-10.4376|150.151306|14.0|Sagarai, Papua New Guinea|2010-03-29T00:00:00|2011-12-31T23:59:59
AU|GIRL|-22.643|114.234001|111.0|Giralia, WA|1995-09-04T00:00:00|2599-12-31T23:59:59
Z6|OH01|-8.4935|109.4506|-2213.0|Station OH01, Indonesia|2004-05-02T00:00:00|2004-10-02T00:00:00
IA|KLSI|-4.6871|104.732|88.0|Station Kotabumi, Indonesia (CN)|2006-01-01T00:00:00|2599-12-31T23:59:59
Z6|OH14|-8.6346|110.3765|-1093.0|Station OH14, Indonesia|2004-05-03T00:00:00|2004-10-03T00:00:00
ZN|J|-8.8702|149.933502|-508.0|SIO OBS ID J|2010-03-03T00:00:00|2011-01-28T23:59:59
XP|0377|-38.7094|176.001999|480.0|Acacia|1994-01-01T00:00:00|1995-04-11T00:00:00
XU|LU2A|-45.036167|169.704742|359.3|Lauder, New Zealand 2nd site|1996-01-01T00:00:00|1997-12-31T23:59:59
MI|ANLB|16.3653|145.646|190.0|ANSW, Northern Marianas Islands|2011-06-01T00:00:00|2599-12-31T23:59:59
MI|ANSV|16.3417|145.6734|390.0|ANSW, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
7B|SD10|-32.843601|136.065704|0.0|QUEENSLAND, AUSTRALIA|1995-03-31T07:38:36|1995-06-03T06:48:38
AU|NWAO|-32.9277|117.239|265.0|Narrogin, Western Australia|1994-01-01T00:00:00|2599-12-31T23:59:59
GE|GENI|-2.5927|140.1678|47.0|GEOFON Station Genyem, Irian Jaya Indonesia|2009-11-26T00:00:00|2599-12-31T23:59:59
1U|BMB|-37.191733|174.989542|243.0|Bombay Hill|2023-01-01T00:00:00|2025-12-31T23:59:59
XB|RTN00|-42.190102|172.948303|1003.0|-|2001-12-20T00:00:00|2002-12-31T23:59:59
XO|TIN2|14.995033|145.612961|133.0|Tinian 2|2003-05-15T02:36:20|2004-12-31T23:59:59
ND|OUENC|-22.4183|166.8416|115.0|île Ouen|2010-08-09T00:00:00|2500-12-31T23:59:59
IA|BAKI|-1.19145|136.10702|89.0|Station Biak, Indonesia|2005-01-01T00:00:00|2599-12-31T23:59:59
AU|MILA|-37.0547|149.155|785.0|Mila, NSW|2006-04-11T00:00:00|2599-12-31T23:59:59
YC|SBD6|5.6875|117.658997|32.0|Kam|2018-03-12T03:45:00|2020-01-10T02:20:00
IU|TARA|1.3549|172.9229|20.0|Tarawa Island, Republic of Kiribati|2007-01-01T00:00:00|2599-12-31T23:59:59
YS|GREG|-10.8919|122.8225|5.0|Nemberala village, sw Rote Island Indonesia|2014-10-03T00:00:00|2016-12-31T23:59:59
3B|WYKM3|-31.25718|117.54784|287.0|3B-WYKM3|2024-08-22T00:00:00|2025-01-16T00:00:00
ZU|NZ23|-45.149399|174.852005|-1091.0|SIO_OBS_ID: 126|2009-02-12T00:00:00|2010-02-12T23:59:59
IA|NLAI|-3.239|127.0998|101.92|Station Namlea, Ambon|2008-01-01T00:00:00|2599-12-31T23:59:59
ZB|LUNG|-2.2853|101.155602|53.0|Lunang|2007-11-30T00:00:00|2008-10-19T23:00:00
IA|MNI|1.44397|124.83998|191.0|Station Manado, Sulawesi|2005-01-01T00:00:00|2599-12-31T23:59:59
AU|CNB|-35.314999|149.363297|853.0|Kowen Forrest, Australian Capital Territory|2007-08-01T00:00:00|2599-12-31T23:59:59
XC|LATA|-42.781101|172.268997|640.0|Lake Taylor|1995-11-15T03:53:08|1996-12-31T23:59:59
XQ|6080|-38.666698|176.088501|386.0|Gun Club|2002-06-16T00:00:00|2002-11-04T00:00:00
YY|OBS26|18.162399|148.497894|-5923.0|LDEO OBS26|2003-06-19T00:00:00|2003-07-01T23:59:59
AD|DLV|11.952|108.481499|50.0|Dalat Central Vietnam|2015-05-07T00:00:00|2599-12-31T23:59:59
1U|TAP|-36.978135|175.258845|81.0|TÄpapakanga Regional Park|2023-01-01T00:00:00|2025-12-31T23:59:59
5A|BUKA|-5.41187|154.681198|39.0|BUKA BOUGAINVILLE|2014-11-17T00:42:00|2016-08-20T00:00:00
IA|TMSI|1.2948|124.92|771.0|Station TMSI|2013-01-01T00:00:00|2599-12-31T23:59:59
ZN|WAIB|-9.2442|150.138306|12.0|Waibula, Papua New Guinea|2010-03-19T00:00:00|2011-12-31T23:59:59
XP|0372|-39.437401|176.804001|100.0|Napier|1994-01-01T00:00:00|1995-04-11T00:00:00
AU|WC1|-19.924335|134.33905|392.0|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
S1|AUAYR|-19.5774|147.4088|13.0|Ayr State High School|2013-08-26T00:00:00|2599-12-31T23:59:59
XT|TAGA|-18.194689|177.664551|68.0|Taga|2001-08-25T05:01:30|2002-12-31T23:59:59
ZU|NZ07|-40.250099|169.000305|-852.0|SIO_OBS_ID: 115|2009-02-03T00:00:00|2010-01-29T23:59:59
7B|SB05|-31.878901|141.595306|0.0|QUEENSLAND, AUSTRALIA|1993-11-21T07:26:36|1994-01-31T02:07:36
AU|PSAC1|-21.533709|119.809319|303.0|Pilbara Seismic Array Element C1|2011-01-01T00:00:00|2599-12-31T23:59:59
ZB|B10S|0.31413|100.107468|303.0|NO-secondary-sample-rate|2008-09-15T00:00:00|2008-10-22T04:40:29
AU|WR1|-19.942589|134.339508|388.8|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
S1|AUPKL|-41.0809|145.9011|171.0|Parklands High School|2016-11-25T00:00:00|2599-12-31T23:59:59
XC|LU2A|-45.036171|169.704742|359.3|Lauder, New Zealand 2nd site|1996-01-27T23:55:00|1996-12-31T23:59:59
S1|TEST|-35.2839|149.1139|555.0|TESTING ONLY|2024-06-01T00:00:00|2599-12-31T23:59:59
ZU|NZ10|-43.200699|168.000397|-1193.0|SIO_OBS_ID: 082|2009-02-04T00:00:00|2010-02-05T23:59:59
IA|BMNI|-8.54|118.6926|62.95|Station Bima, Sumbawa|2007-01-01T00:00:00|2010-04-20T00:00:00
IU|CTAO|-20.0882|146.2545|357.0|Charters Towers, Australia|1991-06-17T00:00:00|2599-12-31T23:59:59
IA|PPSI|-2.766|100.01|6.0|Station Pulau Pagai, Sumatra|2008-01-01T00:00:00|2599-12-31T23:59:59
XP|0197|-38.1698|175.817001|260.0|Tokoroa|1994-01-01T00:00:00|1995-04-11T00:00:00
YS|ONIX|-10.1033|124.4498|159.0|Oni village, Timor Indonesia|2014-11-20T00:00:00|2016-12-31T23:59:59
IA|PWJI|-8.0219|111.8|205.0|Station Pagerwojo, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
IA|MASI|-3.1415|102.2396|384.5|Station Muara Aman, Bengkulu, Indonesia (BMKG)|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|COEN|-13.9574|143.174896|285.4|Coen, Queensland|2003-06-14T00:00:00|2599-12-31T23:59:59
YC|SBD8|5.50699|118.56041|0.0|Kg.|2018-03-14T04:15:00|2020-01-11T02:30:00
YY|OBS34|17.940399|144.480896|-3880.0|LDEO OBS34|2003-06-16T00:00:00|2003-07-30T23:59:59
YY|OBS15|17.7677|144.909393|-4152.0|LDEO OBS15|2003-06-22T00:00:00|2003-08-01T23:59:59
AU|FITZ|-18.0982|125.640297|110.0|Fitzroy Crossing|1994-08-31T00:00:00|2599-12-31T23:59:59
PS|KSI|-3.68|102.582|780.0|Kepahyang, Indonesia|2007-03-16T00:00:00|2599-12-31T23:59:59
IU|WAKE|19.2834|166.652|20.0|Wake Island|1997-05-06T00:00:00|2599-12-31T23:59:59
MI|PGNK|18.07248|145.72644|517.0|PGNK, Northern Marianas Islands|2013-06-01T00:00:00|2599-12-31T23:59:59
XC|LUMA|-45.722801|168.449402|290.0|Lumsden|1995-11-12T22:51:34|1996-12-31T23:59:59
XQ|6320|-38.6008|175.806702|545.5|6320|2002-08-09T00:00:00|2002-11-03T00:00:00
MI|PGBF|18.12379|145.7644|21.0|PGBF, Northern Marianas Islands|2013-04-25T00:00:00|2599-12-31T23:59:59
S1|AUCSH|-16.9159|145.7682|17.0|Cairns State High School|2013-09-03T00:00:00|2599-12-31T23:59:59
YC|SBG1|6.7095|116.350922|18.0|Camp|2018-03-26T05:40:00|2020-01-18T03:15:00
ZN|BBU|-9.3763|150.362106|45.0|Bolubolu, Papua New Guinea|2010-03-22T00:00:00|2011-12-31T23:59:59
XC|ABUA|-43.146702|170.462494|97.0|Abut Head|1995-11-14T00:03:16|1996-04-09T01:33:23
Z6|OS06|-9.4519|111.2433|-2913.0|Station OS06, Indonesia|2004-05-02T00:00:00|2004-10-02T00:00:00
AU|DPH|-12.4667|130.8423|45.0|Darwin Parliament House JUMP, Northern Territory|2009-01-01T00:00:00|2599-12-31T23:59:59
S1|AUMAG|-36.1016|144.7482|127.0|Moama Anglican Grammar|2013-05-24T00:00:00|2599-12-31T23:59:59
AU|WB8|-19.813942|134.380783|356.1|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
7B|SB09|-32.2892|146.857498|0.0|QUEENSLAND, AUSTRALIA|1993-12-13T07:21:56|1994-04-07T07:10:26
7B|SC07|-19.369101|138.329407|0.0|QUEENSLAND, AUSTRALIA|1994-05-22T02:19:05|1994-08-01T00:09:25
YS|TL05|-8.9853|125.6598|502.0|Same village, Timor Leste|2014-03-24T00:00:00|2018-12-31T23:59:59
IA|SLSI|-2.3924|102.5927|76.83|Station Sarolangun, Jambi Indonesia (BMKG)|2009-01-01T00:00:00|2599-12-31T23:59:59
IA|MRSI|0.4771|121.9406|99.0|Station Marisa, Sulawesi|2008-01-01T00:00:00|2599-12-31T23:59:59
2O|BTL08|-16.98692|134.46698|235.0|Beetaloo Station, NT|2021-09-03T00:00:00|2025-12-31T00:00:00
XD|LBAB|-7.557031|110.445045|1844.0|Labuhan|2001-01-25T05:00:06|2001-12-31T23:59:59
YY|OBS32|18.0809|144.909805|-3565.0|LDEO OBS32|2003-06-16T00:00:00|2004-05-05T23:59:59
XU|TOBA|-39.2346|175.543304|1480.0|?|1996-09-16T02:45:00|1997-04-07T18:59:59
IA|BBSI|-5.4885|122.56|95.0|Station Bau Bau, Buton|2007-01-01T00:00:00|2599-12-31T23:59:59
IA|MKS|-5.2178|119.4696|80.32|Station Gowa, Sulawesi, Indonesia (BMKG)|2015-01-01T00:00:00|2599-12-31T23:59:59
S1|AUKAT|-14.4624|132.2829|122.0|Katherine High School|2013-08-29T00:00:00|2599-12-31T23:59:59
XP|0341|-38.050701|176.542007|400.0|Rotoma|1994-01-01T00:00:00|1995-04-11T00:00:00
AU|PHB|-35.306999|149.1241|609.0|Parliment House Basement - Canberra|2015-12-16T00:00:00|2599-12-31T23:59:59
ZN|GOGO|-10.3383|149.671906|15.0|Gogosiba, Papua New Guinea|2010-03-28T00:00:00|2011-12-31T23:59:59
IA|MSAI|-3.3461|128.9285|82.13|Station Masohi, Seram|2007-01-01T00:00:00|2599-12-31T23:59:59
1U|TAW|-36.371693|174.851229|140.0|TÄwharanui Regional Park|2023-01-01T00:00:00|2025-12-31T23:59:59
XQ|9001|-38.551601|175.662598|741.5|9001|2002-07-23T00:00:00|2002-11-05T00:00:00
YO|UNET4|-39.285431|173.942688|360.0|UNET4|2001-10-01T00:00:00|2002-02-01T03:00:00
IA|MMSI|-2.6892|118.909|221.0|Station Mamuju, Indonesia (CN)|2009-07-19T00:00:00|2599-12-31T23:59:59
ZN|IAME|-9.5096|150.526505|17.0|Iamelele, Papua New Guinea|2010-03-23T00:00:00|2010-08-10T23:59:59
IA|BWJI|-5.8511|112.6578|57.56|Station Bawean, BMG|2007-01-01T00:00:00|2599-12-31T23:59:59
IA|SWI|-0.8628|131.2592|128.88|Station Sorong, Indonesia|2006-01-01T00:00:00|2599-12-31T23:59:59
YS|TL08|-8.4947|126.9908|398.0|Los Palos village, e Timor Leste|2014-03-17T00:00:00|2018-03-14T23:59:59
II|TAU|-42.9099|147.3204|132.0|Hobart, Tasmania, Australia|1994-01-17T00:00:00|2599-12-31T23:59:59
XC|SHEA|-43.391399|171.880096|450.0|Sheffield|1995-11-11T00:00:00|1996-12-31T23:59:59
XD|LULB|-7.539899|110.4468|2961.0|Point Luluk, summit|2001-03-10T03:03:43|2001-12-31T23:59:59
YS|ALRB|-8.2194|124.4115|69.0|Alor Besar village, nw Alor Island Indonesia|2014-11-11T00:00:00|2016-12-31T23:59:59
XB|RSFG|-41.908298|172.910202|737.0|-|2001-04-17T00:00:00|2001-12-22T00:00:00
XB|LTKA|-17.68786|177.42836|5.0|Latoka, Fiji|1993-11-19T05:43:03|1995-12-31T23:59:59
YC|SBD5|5.65637|117.273552|116.0|Felda|2018-03-11T08:55:00|2020-01-10T01:25:00
AU|WR7|-19.955193|134.476013|354.8|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
IA|SKSI|-2.52832|121.33444|602.3|Station Soroako, Sulawesi Indonesia (BMKG)|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|YNG|-34.298|148.3963|460.0|Young, NSW|2004-04-16T00:00:00|2599-12-31T23:59:59
AU|WTPK|-34.2217|150.6389|199.0|Wilton Park, Sydney, NSW|2016-07-07T00:00:00|2599-12-31T23:59:59
S1|AUKAR|-20.752|116.8178|45.0|St Luke's College|2013-09-15T00:00:00|2599-12-31T23:59:59
ZU|NZ18|-41.000198|170.0|-805.0|SIO_OBS_ID: 097|2009-02-07T00:00:00|2010-01-28T23:59:59
G|CAN|-35.318715|148.996325|700.0|Canberra, Australia|1987-11-27T00:00:00|2599-12-31T23:59:59
GE|PMBI|-2.9024|104.6993|25.0|GEOFON Station Palembang, Sumatra|2005-12-06T00:00:00|2599-12-31T23:59:59
ZB|LAIS|-3.5291|102.034698|29.0|Desa Lais|2007-12-18T00:00:00|2008-10-19T23:00:00
7B|SA06|-22.892|148.308594|0.0|QUEENSLAND, AUSTRALIA|1993-05-05T00:44:50|1993-09-01T00:54:48
S1|AUBRM|-17.9565|122.2321|20.0|Broome Senior High School|2019-07-14T03:52:00|2599-12-31T23:59:59
YY|OBS09|16.600201|147.249893|-3334.0|LDEO OBS09|2003-06-21T00:00:00|2004-05-11T23:59:59
YS|SARA|-8.7873|121.1043|682.0|Sarasedu village, w Flores Island Indonesia|2014-11-05T00:00:00|2016-12-31T23:59:59
ZU|NZ30|-45.498001|173.501007|-1416.0|SIO_OBS_ID: 129|2009-02-17T00:00:00|2010-02-13T23:59:59
XC|GLEA|-44.872898|168.408096|460.0|Glenorchy|1995-11-12T00:00:00|1996-12-31T23:59:59
7B|SC05|-16.966999|135.783905|0.0|QUEENSLAND, AUSTRALIA|1994-05-23T05:59:17|1994-09-14T06:04:32
ZN|MAPM|-9.6113|150.435394|14.0|MapamoiwaMission, Papua New Guinea|2011-01-20T00:00:00|2011-12-31T23:59:59
S1|AUKUL|-32.6697|118.1522|312.0|Kulin District High School|2013-11-21T00:00:00|2599-12-31T23:59:59
ZB|L30S|0.80247|100.469704|72.0|200-50-25-05|2008-04-25T00:00:00|2008-10-25T20:29:29
YS|TL1B|-9.2422|124.3567|77.0|Bobcase, Oecussi enclave Timor Leste|2015-03-24T00:00:00|2018-12-31T23:59:59
ZN|B|-9.7494|150.350494|-1205.0|SIO OBS ID B|2010-03-02T00:00:00|2011-01-27T23:59:59
XD|MARB|-7.540679|110.447685|2928.0|Point Mar, summit|2001-03-10T03:28:21|2001-12-31T23:59:59
7B|SC03|-16.629801|129.316803|0.0|QUEENSLAND, AUSTRALIA|1994-08-05T09:40:55|1994-10-15T19:20:55
MY|KUM|5.2902|100.6492|74.0|Kulim|2005-02-17T00:00:00|2599-12-31T23:59:59
AU|CN2S|-17.0215|145.723801|56.0|Cairns 2 Soft JUMP, Queensland|2012-01-01T00:00:00|2599-12-31T23:59:59
YO|LUGT5|-39.14711|173.937393|132.0|LUGT5|2002-01-19T02:00:00|2002-02-01T00:10:00
IA|MBSI|-3.7611|102.2714|28.05|Station University, Bengkulu, Indonesia (BMKG)|2008-01-01T00:00:00|2010-04-20T00:00:00
AU|MORW|-29.0683|116.038803|300.0|Morawa, Western Australia|2003-05-26T00:00:00|2599-12-31T23:59:59
YY|OBS57|19.599899|143.400299|-4070.0|LDEO OBS57|2003-06-16T00:00:00|2003-07-31T23:59:59
YY|OBS18|17.8309|145.466705|-3244.0|LDEO OBS18|2003-06-21T00:00:00|2003-07-31T23:59:59
IA|KRJI|-2.0912|101.4619|810.88|Station Kerinci, Sumatra|2007-01-01T00:00:00|2599-12-31T23:59:59
YY|OBS37|18.134501|146.158203|-3034.0|LDEO OBS37|2003-06-18T00:00:00|2003-07-31T23:59:59
S1|AUKHS|-33.4642|151.3827|27.0|Kincumber High School|2013-05-28T00:00:00|2599-12-31T23:59:59
S1|AULHS|-41.2519|147.215|173.0|Lilydale High School|2013-10-31T00:00:00|2599-12-31T23:59:59
5A|BUTIA|-8.51044|151.092499|20.0|BUTIA Lodge Losuia|2014-12-03T06:00:00|2016-08-10T00:00:00
AU|KLGGI|-30.283214|121.761033|385.0|Kalgoorlie Hampton Hill, WA, GSWA|2022-04-21T00:00:00|2599-12-31T23:59:59
YS|LMBR|-8.7922|120.6631|205.0|Lembur village, w Flores Island Indonesia|2014-11-06T00:00:00|2016-12-31T23:59:59
ZB|S20S|-0.08793|100.65052|579.0|NO-secondary-sample-rate|2008-06-25T00:00:00|2008-10-07T20:29:29
YS|TL6B|-8.5549|125.9103|219.0|Laclo Village, Timor Leste|2018-06-08T00:00:00|2018-12-31T23:59:59
YO|TOET4|-39.134548|174.356674|100.0|TOET4|2001-10-01T00:00:00|2002-01-31T06:30:00
YS|PAGL|-8.5091|120.4916|938.0|Pagal village, w Flores Island Indonesia|2014-11-07T00:00:00|2016-12-31T23:59:59
YC|SBD3|5.639|116.46225|715.0|SK|2018-03-21T03:25:00|2020-01-16T02:15:00
7D|KA02|-16.0128|128.0|144.0|QUEENSLAND, AUSTRALIA|1997-07-21T03:17:10|1997-10-07T08:47:11
MY|IPM|4.4795|101.025497|247.0|Ipoh|2005-02-17T00:00:00|2599-12-31T23:59:59
MY|KKM|6.0443|116.214699|830.0|Kota Kinabalu|2005-02-17T00:00:00|2599-12-31T23:59:59
PS|KOR|7.3436|134.4741|10.0|Korror, Palau|2013-12-17T00:00:00|2599-12-31T23:59:59
YY|OBS38|18.1297|144.172501|-4154.0|LDEO OBS38|2003-06-16T00:00:00|2003-07-30T23:59:59
5A|LIHIR|-3.05528|152.611496|126.0|LIHIR ISLAND NI|2014-11-27T02:09:00|2016-08-16T00:00:00
ZB|MLKP|-2.9593|100.194603|22.0|Malakopa-N-comp-stucked-200-50-10-05|2007-12-10T00:00:00|2008-04-25T10:18:53
XD|KIR|-8.507367|151.084946|88.0|Losuia, Kiriwina Island|1999-07-23T00:51:21|2000-12-31T23:59:59
IA|BYJI|-8.214|114.3557|99.5|Station Banyu Wangi, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
IU|SNZO|-41.3087|174.7043|120.0|South Karori, New Zealand|1992-04-07T00:00:00|2599-12-31T23:59:59
ZB|DPBR|-2.126|101.562202|815.0|Dusun Pengasih Baru-until-02-Feb-2008-timing-problems|2007-12-06T00:00:00|2008-10-19T23:00:00
XB|ACH|-42.388401|172.958801|856.0|-|2001-12-24T00:00:00|2002-12-31T23:59:59
IA|SMKI|-0.4461|117.2085|97.28|Station Samarinda, Kalimantan|2007-01-01T00:00:00|2599-12-31T23:59:59
7B|SB03|-28.600201|140.264999|0.0|QUEENSLAND, AUSTRALIA|1993-11-20T01:31:00|1994-01-26T06:01:00
AU|ARMA|-30.4198|151.628006|1112.0|Armidale, New South Wales|2004-03-19T00:00:00|2599-12-31T23:59:59
IU|DAV|7.0697|125.5791|150.0|Davao, Philippines|1994-12-18T00:00:00|2599-12-31T23:59:59
MI|ANNE|16.358|145.7162|0.0|ANNE, Northern Marianas Islands|2000-01-01T00:00:00|2599-12-31T23:59:59
AU|GLAD|-40.982498|148.009995|0.0|Gladstone JUMP, Tasmania|2009-11-20T00:00:00|2599-12-31T23:59:59
IA|MGAI|4.0079|126.67|91.0|Station MGAI|2013-01-01T00:00:00|2599-12-31T23:59:59
AU|HTT|-33.4306|138.9217|708.0|Hallett, South Australia|2009-07-01T00:00:00|2599-12-31T23:59:59
S1|AUMUL|-28.5585|153.4949|60.0|Mullumbimby High School|2013-08-29T00:00:00|2014-12-10T00:00:00
XO|TIN3|14.960391|145.64119|110.0|Tinian 3|2003-05-15T05:46:27|2004-12-31T23:59:59
YO|LUGT4|-39.147079|173.937241|113.0|LUGT4|2001-10-01T00:00:00|2002-01-09T04:00:00
ZN|DIOD|-9.4385|150.185593|14.0|Diodio, Papua New Guinea|2010-03-19T00:00:00|2011-12-31T23:59:59
AU|XMIS|-10.4807|105.651901|243.5|Christmas Island, Australia|2005-08-16T00:00:00|2599-12-31T23:59:59
ZN|VAKU|-8.8523|151.184006|17.0|Vakuta, Papua New Guinea|2010-03-19T00:00:00|2011-12-31T23:59:59
XQ|4480|-39.031799|176.573196|452.5|4480|2002-07-06T00:00:00|2002-10-31T00:00:00
YC|SBE2|6.04611|116.494621|965.0|Kiau|2018-03-23T04:10:00|2020-01-08T03:10:00
XP|0394|-38.52|176.156006|300.0|CRS|1994-01-01T00:00:00|1995-04-11T00:00:00
7D|KA09|-17.2813|127.4645|180.0|QUEENSLAND, AUSTRALIA|1997-07-27T04:26:10|1997-10-13T02:07:20
XC|GLAA|-43.421902|169.847595|25.0|Gillespies Beach|1995-11-14T04:25:04|1996-12-31T23:59:59
XD|EBM|-10.604326|150.653549|102.0|Ebuma Island|1999-08-14T02:59:57|2000-12-31T23:59:59
YC|SBA7|4.44587|117.714417|35.0|Kg.|2018-03-16T04:00:00|2020-01-13T02:35:00
YY|OBS20|17.884899|145.951004|-2702.0|LDEO OBS20|2003-06-22T00:00:00|2003-07-31T23:59:59
XT|LTKA|-17.687468|177.428238|78.0|Latoka|2001-08-02T03:17:22|2002-12-31T23:59:59
AU|KLGHH|-30.750014|121.752683|386.0|Kalgoorlie Hampton Hill, WA ,GSWA network|2022-04-20T00:00:00|2599-12-31T23:59:59
AU|OOD|-27.794399|135.688004|162.2|Oodnadatta, South Australia|2013-05-24T00:00:00|2599-12-31T23:59:59
YW|SING4|-32.588035|151.126957|87.0|Wylies Flat, NSW|2025-04-27T00:00:00|2025-12-31T23:59:59
AU|NRFK|-29.040001|167.962997|196.0|Norfolk Island, Australia|2006-09-26T00:00:00|2008-04-23T00:00:00
XM|ARPA|-42.974899|171.578705|707.0|Arthurs Pass|1994-01-25T00:00:00|1994-04-23T00:00:00
YY|OBS17|17.803301|145.248901|-3595.0|LDEO OBS17|2003-06-22T00:00:00|2003-07-31T23:59:59
ZN|MENA|-9.7569|149.935501|15.0|Menapi, Papua New Guinea|2010-03-14T00:00:00|2011-12-31T23:59:59
7E|KB06|-16.101999|126.600998|524.0|QUEENSLAND, AUSTRALIA|1998-05-24T02:00:54|1998-07-21T01:35:04
AU|WB6|-19.854958|134.367172|364.8|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
ZC|ROTA|14.1479|145.186401|490.0|Rota, Sinapalo, Mariana Islands|2006-08-02T00:00:00|2008-01-01T00:00:00
