#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
MI|GOLF|15.22511|145.78625|75.0|HUB|2011-03-20T00:00:00|2599-12-31T23:59:59
XD|KUL1|-9.088609|152.715424|126.0|Kulumwadao #1, Woodlark Island|1999-07-26T01:46:38|2000-12-31T23:59:59
IA|KSI|-3.6517|102.5929|539.0|Station Kepahiang, Indonesia|2005-01-01T00:00:00|2599-12-31T23:59:59
YC|SBC5|5.28637|116.88076|83.0|SK|2018-03-11T04:05:00|2020-01-09T06:20:00
AU|EIDS|-25.369101|151.081696|216.0|Eidsvold, Queensland|2003-06-23T00:00:00|2599-12-31T23:59:59
XQ|6220|-38.635101|175.920197|461.0|6220|2002-07-04T00:00:00|2002-11-04T00:00:00
GE|MNAI|-4.3605|102.9557|154.0|GEOFON Station GEOFON Station Manna, Sumatra|2006-07-27T00:00:00|2599-12-31T23:59:59
IA|CGJI|-6.6134|105.69|182.0|Station Cigeulis, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
AU|MABG|-34.0721|150.7601|132.0|Mount Annan Botanical Gardens|2016-08-17T00:00:00|2599-12-31T23:59:59
MI|PGR2|18.11516|145.77548|119.0|PGR2, Northern Marianas Islands|2013-06-01T00:00:00|2599-12-31T23:59:59
S1|AUTOO|-27.5452|151.9668|687.0|Toowoomba State High School|2013-08-26T00:00:00|2599-12-31T23:59:59
AU|WR10|-19.959661|134.540527|353.0|Warramunga, NT|2013-08-26T00:00:00|2599-12-31T23:59:59
IA|GRJI|-6.9145|112.4793|97.14|Station Gresik, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
XO|GUA2|13.36315|144.759201|163.0|Guam 2|2003-05-08T09:01:19|2004-12-31T23:59:59
XD|SEHC|-9.955982|151.177917|103.0|Sehulea (Sipupu Village), Normanby Island|1999-07-21T06:44:51|2000-12-31T23:59:59
XU|MTJA|-43.9856|170.464905|1042.0|Mt John|1996-04-08T00:00:00|1997-02-11T23:59:59
S1|AUHPC|-38.1068|142.3183|11.0|Hawkesdale P12 School|2013-05-24T00:00:00|2599-12-31T23:59:59
ZB|C10S|-0.26343|100.439903|867.0|200-50-10-05|2008-06-24T01:00:00|2008-10-21T02:40:29
MS|BTDF|1.3617|103.775|57.0|Bukit Timah Dairy Farm|1996-01-01T00:00:00|2599-12-31T23:59:59
ZB|MAKA|-2.852|100.275398|19.0|Makalo-200-50-10-05|2007-12-06T00:00:00|2008-10-19T23:00:00
7D|KA03|-15.9282|127.247803|333.0|QUEENSLAND, AUSTRALIA|1997-07-21T08:21:59|1997-10-07T13:51:59
AU|PSAB1|-21.568909|119.821869|317.0|Pilbara Seismic Array Element B1|2011-01-01T00:00:00|2599-12-31T23:59:59
ZB|MLKN|-5.3526|102.2715|27.0|Enggano Isand-200-50-10-05|2008-01-16T00:00:00|2008-10-19T23:00:00
IA|LWLI|-5.0175|104.0589|938.05|Station Liwa, Sumatra|2007-01-01T00:00:00|2599-12-31T23:59:59
YC|SBD4|5.66416|116.876907|300.0|Kg.|2018-03-11T03:50:00|2020-01-09T01:50:00
IA|GTOI|0.76|122.87|301.0|Station Gorontalo, Indonesia (CN)|2006-01-01T00:00:00|2599-12-31T23:59:59
AU|XMI|-10.4501|105.6884|252.0|Christmas Island Airport|2007-11-19T00:00:00|2599-12-31T23:59:59
AU|RIV|-33.829399|151.158295|25.0|St Ignatius College, Riverview, Sydney|2004-11-09T00:00:00|2599-12-31T23:59:59
IU|HNR|-9.4387|159.9475|100.0|Honiara, Solomon Islands|1993-10-22T00:00:00|2599-12-31T23:59:59
AU|WC2|-19.925379|134.365448|375.0|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
YS|KPAR|-9.802|119.9462|600.0|Kambapari village, Sumba Island Indonesia|2014-10-21T00:00:00|2016-12-31T23:59:59
IA|TNG|-6.1719|106.6469|51.25|Station Tangerang, Indonesia|2006-01-01T00:00:00|2599-12-31T23:59:59
AU|WC3|-19.958742|134.371933|382.1|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
S1|AUAPY|-26.2844|132.1353|670.0|Ernabella Anangu School|2019-08-07T01:46:00|2599-12-31T23:59:59
AU|TWOA|-35.0313|138.5793|168.0|Flinders University, Adelaide Urban Monitoring Site.|2009-06-27T00:00:00|2599-12-31T23:59:59
XB|ALIN|-41.6525|172.878601|679.0|-|2001-06-03T00:00:00|2001-12-21T00:00:00
AU|WR4|-19.950317|134.406616|374.4|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
XU|QRZA|-40.825298|172.529907|294.0|Quartz Hills|1996-01-01T00:00:00|1997-12-31T23:59:59
